dt vl vr
1512745844.927   11.302    3.718    0.150 -0.914  0.0229  0.0166  0.9517 -0.0437 -0.0196 -0.0246
1512745844.934   11.302    3.718    0.150 -0.914  0.0022 -0.0005  0.9324 -0.0447 -0.0226 -0.0202
1512745844.951   11.310    3.723    0.150 -0.914 -0.0010  0.0139  0.9443 -0.0446 -0.0245 -0.0225
1512745844.958   11.310    3.723    0.150 -0.914  0.0115  0.0032  0.9502 -0.0458 -0.0288 -0.0196
1512745844.977   11.304    3.723    0.150 -0.914  0.0027  0.0225  0.9536 -0.0470 -0.0225 -0.0224
1512745844.983   11.304    3.723    0.150 -0.914  0.0017  0.0042  0.9583 -0.0401 -0.0221 -0.0216
1512745845.002   11.315    3.703    0.150 -0.914  0.0046  0.0151  0.9404 -0.0454 -0.0261 -0.0256
1512745845.020   11.314    3.687    0.150 -0.914  0.0105  0.0176  0.9265 -0.0411 -0.0297 -0.0197
1512745845.026   11.314    3.687    0.150 -0.914  0.0203 -0.0015  0.9507 -0.0446 -0.0190 -0.0245
1512745845.044   11.326    3.673    0.150 -0.914  0.0044  0.0181  0.9407 -0.0429 -0.0286 -0.0214
1512745845.065   11.321    3.672    0.150 -0.914  0.0093  0.0151  0.9504 -0.0427 -0.0258 -0.0260
1512745845.070   11.321    3.672    0.150 -0.914 -0.0042  0.0186  0.9485 -0.0458 -0.0217 -0.0245
1512745845.092   11.327    3.673    0.150 -0.914  0.0125  0.0190  0.9529 -0.0398 -0.0228 -0.0246
1512745845.110   11.321    3.680    0.150 -0.914  0.0007  0.0098  0.9521 -0.0429 -0.0254 -0.0248
1512745845.117   11.321    3.680    0.150 -0.914  0.0159  0.0115  0.9370 -0.0431 -0.0248 -0.0228
1512745845.134   11.320    3.679    0.150 -0.914  0.0181  0.0085  0.9441 -0.0419 -0.0246 -0.0213
1512745845.141   11.320    3.679    0.150 -0.914  0.0112  0.0098  0.9282 -0.0499 -0.0232 -0.0205
1512745845.167   11.307    3.692    0.150 -0.914  0.0161  0.0015  0.9456 -0.0437 -0.0274 -0.0252
1512745845.187   11.313    3.694    0.150 -0.914  0.0054 -0.0024  0.9338 -0.0439 -0.0290 -0.0238
1512745845.194   11.313    3.694    0.150 -0.914  0.0061  0.0017  0.9319 -0.0362 -0.0140 -0.0218
1512745845.212   11.308    3.692    0.150 -0.914 -0.0010  0.0085  0.9316 -0.0497 -0.0277 -0.0196
1512745845.232   11.311    3.691    0.150 -0.914  0.0088  0.0142  0.9463 -0.0451 -0.0186 -0.0230
1512745845.238   11.311    3.691    0.150 -0.914 -0.0176  0.0227  0.9424 -0.0433 -0.0309 -0.0234
1512745845.257   11.315    3.698    0.150 -0.914  0.0115  0.0073  0.9346 -0.0394 -0.0236 -0.0222
1512745845.264   11.315    3.698    0.150 -0.914 -0.0027  0.0198  0.9485 -0.0490 -0.0201 -0.0222
1512745845.285   11.302    3.714    0.150 -0.914  0.0276  0.0229  0.9385 -0.0470 -0.0208 -0.0214
1512745845.302   11.302    3.714    0.150 -0.914 -0.0051  0.0083  0.9414 -0.0391 -0.0260 -0.0265
1512745845.309   11.302    3.714    0.150 -0.914  0.0413  0.0115  0.9421 -0.0443 -0.0212 -0.0216
1512745845.327   11.298    3.712    0.150 -0.914  0.0088  0.0151  0.9463 -0.0459 -0.0292 -0.0228
1512745845.332   11.298    3.712    0.150 -0.914  0.0137  0.0129  0.9385 -0.0438 -0.0226 -0.0253
1512745845.352   11.304    3.706    0.150 -0.914  0.0112  0.0090  0.9446 -0.0418 -0.0257 -0.0201
1512745845.359   11.304    3.706    0.150 -0.914  0.0056  0.0051  0.9417 -0.0462 -0.0230 -0.0246
1512745845.379   11.303    3.691    0.150 -0.914  0.0168  0.0010  0.9375 -0.0462 -0.0164 -0.0233
1512745845.386   11.303    3.691    0.150 -0.914  0.0210  0.0264  0.9451 -0.0386 -0.0274 -0.0196
1512745845.405   11.310    3.688    0.150 -0.914  0.0010  0.0444  0.9353 -0.0415 -0.0300 -0.0196
1512745845.425   11.308    3.685    0.150 -0.914  0.0076  0.0264  0.9512 -0.0417 -0.0277 -0.0202
1512745845.432   11.308    3.685    0.150 -0.914 -0.0144  0.0107  0.9490 -0.0417 -0.0249 -0.0238
1512745845.450   11.320    3.689    0.150 -0.914  0.0083  0.0068  0.9460 -0.0409 -0.0225 -0.0205
1512745845.457   11.320    3.689    0.150 -0.914  0.0134  0.0203  0.9583 -0.0439 -0.0254 -0.0234
1512745845.476   11.318    3.690    0.150 -0.914  0.0107  0.0103  0.9541 -0.0449 -0.0265 -0.0220
1512745845.484   11.318    3.690    0.150 -0.914  0.0149  0.0063  0.9480 -0.0415 -0.0246 -0.0226
1512745845.503   11.320    3.695    0.150 -0.914  0.0232  0.0132  0.9456 -0.0497 -0.0272 -0.0193
1512745845.509   11.320    3.695    0.150 -0.914 -0.0005  0.0027  0.9500 -0.0435 -0.0236 -0.0237
1512745845.528   11.324    3.695    0.150 -0.914  0.0249  0.0125  0.9370 -0.0441 -0.0225 -0.0205
1512745845.535   11.324    3.695    0.150 -0.914  0.0110 -0.0005  0.9424 -0.0431 -0.0284 -0.0230
1512745845.553   11.323    3.694    0.150 -0.914  0.0247  0.0115  0.9419 -0.0481 -0.0240 -0.0208
1512745845.560   11.323    3.694    0.150 -0.914  0.0103  0.0212  0.9490 -0.0394 -0.0249 -0.0237
1512745845.579   11.303    3.684    0.150 -0.914  0.0081  0.0056  0.9543 -0.0442 -0.0268 -0.0218
1512745845.585   11.303    3.684    0.150 -0.914  0.0244  0.0178  0.9346 -0.0398 -0.0281 -0.0209
1512745845.601   11.300    3.684    0.150 -0.914  0.0229  0.0188  0.9629 -0.0417 -0.0213 -0.0226
1512745845.607   11.300    3.684    0.150 -0.914 -0.0178  0.0061  0.9258 -0.0434 -0.0264 -0.0234
1512745845.626   11.298    3.668    0.150 -0.914  0.0315  0.0171  0.9446 -0.0431 -0.0250 -0.0226
1512745845.633   11.298    3.668    0.150 -0.914 -0.0029  0.0244  0.9521 -0.0422 -0.0250 -0.0241
1512745845.654   11.278    3.689    0.150 -0.914  0.0229  0.0098  0.9399 -0.0450 -0.0253 -0.0238
1512745845.675   11.282    3.690    0.150 -0.914  0.0000  0.0066  0.9595 -0.0470 -0.0197 -0.0240
1512745845.682   11.282    3.690    0.150 -0.914  0.0222  0.0115  0.9500 -0.0431 -0.0278 -0.0213
1512745845.701   11.292    3.695    0.150 -0.914  0.0015  0.0205  0.9360 -0.0427 -0.0269 -0.0248
1512745845.726   11.317    3.653    0.150 -0.914  0.0100  0.0115  0.9451 -0.0489 -0.0273 -0.0233
1512745845.748   11.319    3.668    0.150 -0.914  0.0188  0.0239  0.9417 -0.0406 -0.0292 -0.0208
1512745845.754   11.319    3.668    0.150 -0.914  0.0100  0.0083  0.9482 -0.0425 -0.0242 -0.0233
1512745845.772   11.325    3.666    0.150 -0.914  0.0215  0.0073  0.9309 -0.0431 -0.0305 -0.0192
1512745845.779   11.325    3.666    0.150 -0.914  0.0134  0.0154  0.9475 -0.0401 -0.0201 -0.0234
1512745845.798   11.329    3.666    0.150 -0.914  0.0122  0.0063  0.9417 -0.0485 -0.0262 -0.0224
1512745845.804   11.329    3.666    0.150 -0.914 -0.0032  0.0142  0.9373 -0.0407 -0.0277 -0.0220
1512745845.825   11.346    3.673    0.150 -0.914  0.0203  0.0125  0.9578 -0.0425 -0.0233 -0.0257
1512745845.830   11.346    3.673    0.150 -0.914 -0.0007  0.0276  0.9573 -0.0473 -0.0304 -0.0200
1512745845.852   11.313    3.733    0.150 -0.914  0.0132  0.0173  0.9412 -0.0438 -0.0272 -0.0210
1512745845.857   11.313    3.733    0.150 -0.914  0.0234  0.0090  0.9443 -0.0441 -0.0238 -0.0229
1512745845.875   11.311    3.730    0.150 -0.914  0.0095  0.0073  0.9397 -0.0441 -0.0249 -0.0221
1512745845.880   11.311    3.730    0.150 -0.914  0.0198  0.0083  0.9417 -0.0457 -0.0246 -0.0221
1512745845.900   11.321    3.718    0.150 -0.914  0.0237  0.0212  0.9390 -0.0499 -0.0285 -0.0229
1512745845.920   11.307    3.713    0.150 -0.914 -0.0051  0.0071  0.9270 -0.0450 -0.0241 -0.0233
1512745845.926   11.307    3.713    0.150 -0.914  0.0081  0.0081  0.9302 -0.0409 -0.0250 -0.0229
1512745845.945   11.294    3.706    0.150 -0.914  0.0117  0.0066  0.9412 -0.0427 -0.0276 -0.0238
1512745845.968   11.299    3.693    0.150 -0.914  0.0112 -0.0056  0.9463 -0.0457 -0.0217 -0.0222
1512745845.984   11.302    3.695    0.150 -0.914  0.0078  0.0242  0.9443 -0.0445 -0.0237 -0.0214
1512745845.991   11.302    3.695    0.150 -0.914 -0.0029  0.0012  0.9451 -0.0406 -0.0278 -0.0228
